Orden,Tipo de contenedor,Tipo de contenedor normalizado,Modelo,Carga,Lote,Dirección,Barrio,Distrito,Latitud,Longitud,X,Y,Código de localización
27944,Orgánica,Organica,O 2750 CL,Carga lateral,3,"Paseo Alberto Palacios, 79",Villaverde Alto - casco histórico de Villaverde,Villaverde,40.343285745181,-3.717033205633,439101.597,4466106.389,CL_171_034
27945,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Valle de Mena, 14",Peñagrande,Fuencarral-El Pardo,40.47053078646,-3.716883774353,439228.847,4480230.416,CS_083_092
27946,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle Valle de Mena, 14",Peñagrande,Fuencarral-El Pardo,40.47053078646,-3.716883774353,439228.847,4480230.416,CS_083_092
27947,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Aniceto Marinas, 4",Casa de Campo,Moncloa-Aravaca,40.420869774582,-3.721872568159,438760.88,4474721.48,CS_091_015
27948,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Aniceto Marinas, 4",Casa de Campo,Moncloa-Aravaca,40.420869774582,-3.721872568159,438760.88,4474721.48,CS_091_015
27949,Vidrio,Vidrio,V 3100 CS ABATIBLE,Carga superior abatible,1,"Calle Aniceto Marinas, 4",Casa de Campo,Moncloa-Aravaca,40.420869774582,-3.721872568159,438760.88,4474721.48,CS_091_015
27950,Restos,Restos,R 2750 CL,Carga lateral,3,"Calle Gainza, 39",Orcasitas,Usera,40.371351833791,-3.718970247015,438962.396,4469223.018,CL_121_052
27951,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,3,"Calle Gainza, 39",Orcasitas,Usera,40.371351833791,-3.718970247015,438962.396,4469223.018,CL_121_052
27952,Orgánica,Organica,O 2750 CL,Carga lateral,3,"Calle Gainza, 39",Orcasitas,Usera,40.371351833791,-3.718970247015,438962.396,4469223.018,CL_121_052
27953,Restos,Restos,R 2750 CL,Carga lateral,3,"Calle Alejandro Sánchez, 43",Opañel,Carabanchel,40.390172976046,-3.722678244626,438664.672,4471314.711,CL_112_062
27954,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,3,"Calle Alejandro Sánchez, 43",Opañel,Carabanchel,40.390172976046,-3.722678244626,438664.672,4471314.711,CL_112_062
27955,Orgánica,Organica,O 2750 CL,Carga lateral,3,"Calle Alejandro Sánchez, 43",Opañel,Carabanchel,40.390172976046,-3.722678244626,438664.672,4471314.711,CL_112_062
27956,Restos,Restos,R 800 CT,Carga trasera,1,"Calle Saavedra Fajardo, 25",Puerta del Ángel,Latina,40.412311902516,-3.724532544677,438527.434,4473773.406,CT_102_026
27957,Restos,Restos,R 800 CT,Carga trasera,1,"Calle Saavedra Fajardo, 25",Puerta del Ángel,Latina,40.412311902516,-3.724532544677,438527.434,4473773.406,CT_102_026
27958,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,1,"Calle Saavedra Fajardo, 25",Puerta del Ángel,Latina,40.412311902516,-3.724532544677,438527.434,4473773.406,CT_102_026
27959,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,1,"Calle Saavedra Fajardo, 25",Puerta del Ángel,Latina,40.412311902516,-3.724532544677,438527.434,4473773.406,CT_102_026
27960,Orgánica,Organica,O 800 CT,Carga trasera,1,"Calle Saavedra Fajardo, 25",Puerta del Ángel,Latina,40.412311902516,-3.724532544677,438527.434,4473773.406,CT_102_026
27961,Restos,Restos,R 2750 CL,Carga lateral,1,"Calle Isla de Yeso, 1",Peñagrande,Fuencarral-El Pardo,40.479308052848,-3.72435091852,438603.838,4481209.867,CL_083_102
27962,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,1,"Calle Isla de Yeso, 1",Peñagrande,Fuencarral-El Pardo,40.479308052848,-3.72435091852,438603.838,4481209.867,CL_083_102
27963,Orgánica,Organica,O 2750 CL,Carga lateral,1,"Calle Isla de Yeso, 1",Peñagrande,Fuencarral-El Pardo,40.479308052848,-3.72435091852,438603.838,4481209.867,CL_083_102
27964,Restos,Restos,R 2750 CL,Carga lateral,1,"Calle Isla de Zanzíbar, 36",Peñagrande,Fuencarral-El Pardo,40.476067963228,-3.723598170127,438664.693,4480849.691,CL_083_115
27965,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,1,"Calle Isla de Zanzíbar, 36",Peñagrande,Fuencarral-El Pardo,40.476067963228,-3.723598170127,438664.693,4480849.691,CL_083_115
27966,Orgánica,Organica,O 2750 CL,Carga lateral,1,"Calle Isla de Zanzíbar, 36",Peñagrande,Fuencarral-El Pardo,40.476067963228,-3.723598170127,438664.693,4480849.691,CL_083_115
27967,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,3,"Calle Talco, 9",Villaverde Alto - casco histórico de Villaverde,Villaverde,40.347953710638,-3.714460494945,439324.285,4466622.758,CS_171_058
27968,Vidrio,Vidrio,V 3100 CS,Carga superior,3,"Calle Talco, 9",Villaverde Alto - casco histórico de Villaverde,Villaverde,40.347953710638,-3.714460494945,439324.285,4466622.758,CS_171_058
27969,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,3,"Calle Arenaria, 2",Zofío,Usera,40.376285906078,-3.718108606862,439039.993,4469770.1,CS_126_016
27970,Vidrio,Vidrio,V 3100 CS,Carga superior,3,"Calle Arenaria, 2",Zofío,Usera,40.376285906078,-3.718108606862,439039.993,4469770.1,CS_126_016
27971,Restos,Restos,R 800 CT,Carga trasera,1,"Calle Arquitecto Sánchez Arcas, 7",Ciudad Universitaria,Moncloa-Aravaca,40.454168993679,-3.715290245552,439349.219,4478413.153,CT_093_014
27972,Restos,Restos,R 800 CT,Carga trasera,1,"Calle Arquitecto Sánchez Arcas, 7",Ciudad Universitaria,Moncloa-Aravaca,40.454168993679,-3.715290245552,439349.219,4478413.153,CT_093_014
27973,Restos,Restos,R 800 CT,Carga trasera,1,"Calle Arquitecto Sánchez Arcas, 7",Ciudad Universitaria,Moncloa-Aravaca,40.454168993679,-3.715290245552,439349.219,4478413.153,CT_093_014
27974,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,1,"Calle Arquitecto Sánchez Arcas, 7",Ciudad Universitaria,Moncloa-Aravaca,40.454168993679,-3.715290245552,439349.219,4478413.153,CT_093_014
27975,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,1,"Calle Arquitecto Sánchez Arcas, 7",Ciudad Universitaria,Moncloa-Aravaca,40.454168993679,-3.715290245552,439349.219,4478413.153,CT_093_014
27976,Orgánica,Organica,O 800 CT,Carga trasera,1,"Calle Arquitecto Sánchez Arcas, 7",Ciudad Universitaria,Moncloa-Aravaca,40.454168993679,-3.715290245552,439349.219,4478413.153,CT_093_014
27977,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Martín de los Heros, 68",Argüelles,Moncloa-Aravaca,40.430383300661,-3.718722234858,439036.727,4475775.301,CS_092_001
27978,Vidrio,Vidrio,V 3100 CS ABATIBLE,Carga superior abatible,1,"Calle Martín de los Heros, 68",Argüelles,Moncloa-Aravaca,40.430383300661,-3.718722234858,439036.727,4475775.301,CS_092_001
27979,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Sallaberry, 39",Opañel,Carabanchel,40.393001984033,-3.720329739584,438866.555,4471627.102,CT_112_059
27980,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Sallaberry, 39",Opañel,Carabanchel,40.393001984033,-3.720329739584,438866.555,4471627.102,CT_112_059
27981,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Calle Sallaberry, 39",Opañel,Carabanchel,40.393001984033,-3.720329739584,438866.555,4471627.102,CT_112_059
27982,Orgánica,Organica,O 800 CT,Carga trasera,3,"Calle Sallaberry, 39",Opañel,Carabanchel,40.393001984033,-3.720329739584,438866.555,4471627.102,CT_112_059
27983,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Saavedra Fajardo, 34",Puerta del Ángel,Latina,40.411881438375,-3.72458909763,438522.244,4473725.664,CS_102_025
27984,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle Saavedra Fajardo, 34",Puerta del Ángel,Latina,40.411881438375,-3.72458909763,438522.244,4473725.664,CS_102_025
27985,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Hermanos del Moral, 37",Opañel,Carabanchel,40.392501558307,-3.721242940804,438788.599,4471572.187,CT_112_055
27986,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Hermanos del Moral, 37",Opañel,Carabanchel,40.392501558307,-3.721242940804,438788.599,4471572.187,CT_112_055
27987,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Calle Hermanos del Moral, 37",Opañel,Carabanchel,40.392501558307,-3.721242940804,438788.599,4471572.187,CT_112_055
27988,Orgánica,Organica,O 800 CT,Carga trasera,3,"Calle Hermanos del Moral, 37",Opañel,Carabanchel,40.392501558307,-3.721242940804,438788.599,4471572.187,CT_112_055
